Nombre del estudio,Dirección,Barrio,Teléfono,Email,Instagram,Seguidores,Puntaje x reserñas,Web,Fabricantes Ref,Diseño,App,Opiniones,Presentación,Servicios adicionales,Horario,Código Plus,Fuente de datos,Fecha de recolección,Observacciones,
Pilates Grow @pilatesgrowar,"Av. Congreso 2157, C1428 Cdad. Autónoma de Buenos Aires",Núñez,1133787142,,https://www.instagram.com/pilatesgrowar?igsh=ZnNuZncyd3I4aXM1#,2245,"5,0x17",,Del Rio Pilates,Básico.,,"Hace 6 meses: Profe Ale dejaste la vara altísima, se nota que sos diosa en lo que haces, siempre inspirando e innovando. Sos grosa y Grow lo sabe!! Las dueñas son super mega cálidas y atentas, asimismo como lo es Grow",,,Lunes a sábados de 8 a. m.–8 p. m.,"CGWQ+CW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",03-09-25,,
Pilates Line,"Av. Congreso 2393 1er piso, C1428 Cdad. Autónoma de Buenos Aires",Núñez,1166941292,,https://www.instagram.com/pilatesline.estudio/?hl=es-la#,2428,"4,2x93",,-,"Tonalidades en torno al malva. Reformer de caño, modernos.",,"Hace 4 meses: Desde que empecé, me siento mucho mejor físicamente. Las profes son atentas, las clases súper bien pensadas, y el espacio siempre está limpio y ordenado. Lo recomiendo 100%",-,,Lunes a jueves 8 a. m.–9 p. m.,"CGVQ+W4 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",03-09-25,,
Oma BA - Pilates & Yoga,"Av. Cabildo 3047 Timbre F, C1429 Cdad. Autónoma de Buenos Aires",Núñez,1127716208,,https://www.instagram.com/omapilatesyoga/?hl=es#,4909,"4,8x46",https://www.oma-ba.com.ar/,APC,"Moderno, iluminado, colores pastel verde, azul, beige, pelotas grises.",,Hace 7 meses: Excelente lugar para hacer pilates. Ambiente íntimo y cálido. Música tranquila. Fui a una clase de prueba y me gustó. Voy a continuar yendo!,-,Yoga,"Lunes a viernes 8 a. m.–3 p. m., 4–9 p. m. sábado, 9 a. m.–1 p. m.","CGWP+CF Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram, web",03-09-25,,
SPA PILATES,"Campos Salles 2275, C1429BWE Cdad. Autónoma de Buenos Aires",Núñez,,,https://www.instagram.com/spa_pilates/?hl=es-la#,2846,"4,8x14",,-,"Equipado, espacio pequeño, pelotas rojas.",,Hace 3 meses:Las mejores clases de pilates! Las clases son muy dinámicas y el.ambiente es divertido y a la vez comprometido con la actividad!,-,,"Lunes a jueves 9–11 a. m., 5–9 p. m.","CGXP+F5 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",03-09-25,,
Pilates Aroha,"Nuñez 2396, C1429 Cdad. Autónoma de Buenos Aires",Núñez,1144481880,sede villa del parque,https://www.instagram.com/pilatesaroha/?hl=es-la#,3604,"4,x10",,-,"Equipado, moderno.",,,,,Lunes - viernes 8 a. m.–9 p. m.,"FG2M+43 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram,",03-09-25,Sedes: Núñez (Núñez 2396) Villa del Parque(Argerich 3023),
Centropilates BA Núñez,"Amenábar 3611, C1429 Cdad. Autónoma de Buenos Aires",Núñez,1158644224,,-,,"4,x56",https://centropilatesba.com/,-,,,"3 semanas atrás: Nueva: Cada clase con Ro es una experiencia excelente, al margen de ser una gran instructora y sus clases las mejores, tiene una calidez humana que hace que uno se sienta muy a gusto. Honestamente, al margen del Centro que es hermoso, ella es el motivo por el cual muchos de nosotros seguimos entusiasmados hace años ♡ Gran trabajo!",,,,"FG2H+4V Buenos Aires, Cdad. Autónoma de Buenos Aires",,,,
Imperio Pilates Studio,"Monroe 3879, C1430 Cdad. Autónoma de Buenos Aires",Coghlan,1170651521,villa urquizay colegiales,https://www.instagram.com/imperiopilates.studio/,829,"4,9x38",,-,"Básico. 4 Reformer, pelotas grises, pared gris, iluminación que cambia de color.",,,-,,"Lunes a viernes de 7 a. m.–7 p. m. sábado, 9 a. m.–12 p. m.","CGMG+69 Buenos Aires, Cdad. Autónoma de Buenos Aires",,,Celebran cumples –pilates. Profes muy jovencitas. Ya está cargado en Villa Urquiza.,
Almha Pilates,"Saladillo 1188, C1408 Cdad. Autónoma de Buenos Aires",Liniers,1151523205,,https://instagram.com/almha.pilates?igshid=OGRjNzg3M2Y=,1950,"4,5x41",,Del Rio Pilates,"Pared con césped-pasto artificial, espejos ovalados arriba marca ¿?, pelotas grises y azules.",,"3 semanas atrás Nueva: Desastre de lugar, no son humanos se rigen solo por “la plata”. Primera clase que la pague y no fui porque estaba con fiebre , pido el cambio y me piden que VUELVA a pagar!! Cero humanos, cero interés en sus clientes. Lo peor? Mandan textos peleandote por WhatsApp. Desastre total. Editado 2 semanas atrás: Nueva: Pésima atención a cargo de Magalí. Qué mentirosos que son por favor en la respuesta! Jamás la recepcionista me dio la posibilidad de asistir a la clase de las 9hs. Tampoco estaba completo el turno de las 8hs, al cual me podría haber quedado. Había lugar en ambos horarios. Función: evacuar dudas y resolver inconvenientes de los clientes. Mucho que aprender. Les deseo voluntad y buena onda.La necesitan!",-,"Pilates Reformer, Stretching y Hatha Yoga","Lunes viernes de 8 a. m.–12 p. m., 3–9 p. m. sábado, 9 a. m.–1 p. m.","8FWF+4V Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram,",09-09-25,,
Iluminar Pilates&Bienestar,"Tonelero 7400, C1408 Cdad. Autónoma de Buenos Aires",Linier,1145404559,,https://www.instagram.com/iluminar.pilates.bienestar/?hl=es#,3021,"5,0x46",,-,Básico,,"Hace 5 meses: 10 de 10. Honestamente descubrir Iluminar fue un antes y un después, no solo vas a entrenar, vas a pasarla bien. Cada clase con Caro es un cago de risa, te despejas, te relajas, y encima te arropan los michis. ( Que si no te gustan no importa, ellos se quedan afuera ) Gracias a todo el equipo y aguante el turno noche",-,Entrenamiento funcional.,"lunes, 2–9 p. m. martes y jueves 8 a. m.–9 p. m. miércoles y viernes de 12–9 p. m. sábado, 10 a. m.–2 p. m.","8FXF+9Q Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",09-09-25,Pilates- danza. Usa frases de Paulo Cohelo,
Erevan Pilates,"Av. Lisandro de la Torre 756, C1408 Cdad. Autónoma de Buenos Aires",Linier,111556356046,,https://www.instagram.com/erevan_pilates/#,2242,"4,8x26",,-,"Básico. Pelotas rojas azules, reforme clásicos.",,No hay recientes.,-,,"Lunes a viernes 8 a. m.–8 p. m. sábado, 8 a. m.–12 p. m.","9F3J+62 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",09-09-25,,
Ludemma Pilates y Yoga,"Cnel. Ramón L. Falcón 6602, C1408 Cdad. Autónoma de Buenos Aires",Linier,1123967699,,https://www.instagram.com/ludemmapilatesfitness/#,2246,"4,9x32",,-,"Básico. Tonalidades malvas, pelotas, pared, mat.",,Hace un año: Clases muy lindas y dinámicas. Las profes son súper dedicadas y están pendientes de todos los alumnos. Lograron que me entusiasme hacer actividad física,-,"Yoga, Streching, Gap, funcional, Zumba,","Lunes a viernes 8 a. m.–9 p. m. sábado, 9 a. m.–12 p. m.","9F5J+R4 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",09-09-25,Están desde 2017,
JVS Pilates,"Av. Rivadavia 11067, C1408 Cdad. Autónoma de Buenos Aires",Linier,1164944812,,https://instagram.com/pilates.jvs?igshid=YmMyMTA2M2Y=,1804,"4,9x31",,NUEVA LINEA JVS PILATES REFORMER y Studio moderna pilates.,"Básico, trabaja con diseño (logo en equipos JVS). Color naranja, gris,",,"Editado Hace 10 meses:Excelente profesora, con formación en Danza clásica, lo que hace de cada clase una delicada experiencia. El estudio JVS es un hermoso espacio para relajar y centrarse en uno mismo. Los resultados de la actividad física con pilates reformer por biomecánica son increíbles.",-,"En JVS Pilates formamos instructores con bases sólidas, correcciones reales y una mirada integral del movimiento.","lunes, 8–11 a. m., 4:30–9:30 p. m. martes y jueves, 8–11 a. m., 4–10 p. m. miércoles, 9 a. m.–11 p. m. viernes, 8–11 a. m., 4–8 p. m. sábado, 10 a. m.–1 p. m., 2–4 p. m.","9F6H+FG Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram.",09-09-25,Ver el tipo de reformer y la marca que promocionan.,
Life Pilates,"Fonrouge 213, C1408 Cdad. Autónoma de Buenos Aires",Liniers,1141582244,,https://www.instagram.com/life_pilates1/#,481,"5,0x1",,Studio moderno,Básico.,,,,,"Lunes a jueves de 8–11 a. m., 5–9 p. m. viernes, 8:30–11:30 a. m. sábado, 9 a. m.–12 p. m.","9F5P+GC Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram.",09-09-25,Tiene otro equipos que no son del método.,
Bive Pilates,"Av. Rivadavia 10814, C1408AAV Cdad. Autónoma de Buenos Aires",Liniers,111530874614,cámara ,https://www.instagram.com/bivepilates/?hl=es#,5468,"4,9x61",https://www.bivepilates.com.ar/,P&P,"Iluminado, amplio.",,"Hace 4 meses: Me encantó la experiencia super recomendable para realizar. Una experiencia muy hermosa, desde el nivel de profesionalismo hasta de amabilidad de las profesoras. No dejen de conocer este hermoso lugar lleno de energía hermosa. Gracias por todo Moni, Sole.","En Bive Pilates, nuestra misión es brindarte una experiencia única enfocada en tu bienestar integral. Contamos con un equipo de instructores altamente capacitados que te guiarán en cada sesión para fortalecer tu cuerpo, calmar tu mente y potenciar tu bienestar general.","Pilates aéreo, circuito, Yoga, entrenamiento funcional, Stretching","Lunes a viernes 8 a. m.–9 p. m. sábado, 8 a. m.–2 p. m.","9F6M+6F Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, web, Instagram",09-09-25,Está muy organizada toda la info en la web. Ofrecen instructorado.,
SerUno Pilates Reforme,"Araujo 476, C1408 Cdad. Autónoma de Buenos Aires",Liniers,,,https://www.instagram.com/serunobienestar/#,1320,"4,9x61",,Studio moderna Pilates y P&P,"Tonalidades en torno al malva (piso, pared), pelotas grises y naranjas.",,"Hace un mes: Ambiente muy agradable y limpio, buen estado de camas y accesorios , excelentes profesoras, cumplen estrictamente los horarios de las clases , prolijo manejo administrativo y excelente atención a alumnos . Altamente recomendable !!!",-,,"lunes, 10–11 a. m., 4–9 p. m. martes y viernes 8 a. m.–12 p. m., 5–9 p. m. miércoles y jueves, 9 a. m.–12 p. m., 5–9 p. m. sábado, 10 a. m.–1 p. m.","9F5W+2P Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",09-09-25,Existen desde el 2011. Las redes con información detallada del servicio que ofrecen. g,
Vital Pilates,"Echenagucía 28, C1408 Cdad. Autónoma de Buenos Aires",Liniers,1165073256,,https://www.instagram.com/pilatesvital.ok/#,1929,"5,0x31",,Del Rio Pilates,Básico,,Hace 4 meses: Hace casi dos años que voy y siempre algo nuevo. Las profes genias totales con un trabajo totalmente personalizado y profesional. Se crea un ambiente amoroso y divertido. Super recomiendo Vital Pilates.,-,,"lunes, 8 a. m.–9 p. m. martes, 8 a. m.–12 p. m., 1–9 p. m. miércoles, 8 a. m.–12 p. m., 4–9 p. m. jueves y viernes 8 a. m.–12 p. m., 5–9 p. m. sábado, 9 a. m.–12 p. m.","9F6R+MW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",09-09-25,Ofrecen un instructorado.,
Carpe Diem Pilates Clásico,"Reservistas Argentinos, Av. Álvarez Jonte y, C1408 Buenos Aires",Liniers,,,https://www.instagram.com/carpediem_pilatesclasico?igsh=bDJ5MW9jNjV1dm1q,226,"5,0x7",,Reformer de caño. No de madera.,básico,,"Hace 10 meses: Pilates clásico me esta ayudando a sentir mi cuerpo, aumentando mi equilibrio , mejorando mis musculos y beneficiandome para no lesionarme cuando practico tenis. Carla es la mejor profesora que he tenido y hace que la práctica sea mejor aún.",,,"lunes, 4:30–7:30 p. m. martes a jueves 4–8 p. m",-,Google map Instagram,09-09-25,"El 40% del alumnado de Carpe Diem son hombres (dedicado a los que dicen que Pilates es ""para mujeres"")",
Ikal,"Inclán 2518, C1258 Cdad. Autónoma de Buenos Aires",Parque Patricios,1131557966,,https://www.instagram.com/ikal.estetica/?hl=es#,885,"5,0x4",,-,Básico.,,"Hace un año: Son excelentes, super cálidos desde su dueña Flavia que es amable, amorosa, empática y respeta mucho a las clientas hasta las 2 profesoras que tengo, Claudia en pilates que es un sol, muy profesional y afectuosa y Monica de yoga super exigente y cuidadosa, explicando detalladamente cada ejercicio y enseñándote bien las posiciones. Yo hacía muchísimos años que no hacía actividad física y acá encontré un lugar en el que espero que se haga la hora para concurrir. Gracias a todas!!! Ikal es mi lugar!!! Pato",-,"Cosmetologia, Depi definitiva, Pilates, Yoga, Pestañas, Cejas, Manicuria, Pedicuria,","Lunes a viernes de, 10 a. m.–9 p. m.","9JC2+22 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,,
Estudio del Sur Pilates,"Inclán, Av. Jujuy &, Buenos Aires",Parque Patricios,1170641754,,https://www.instagram.com/estudiodelsurpilates/?hl=es#,1169,"5,0x21",,-,Básico.,,"Hace un año: Es -El- lugar para hacer pilates! Profes muy piolas, dedicadas y atentas con las alumnas. En cuanto al espacio muy agradable, híper prolijo y todo cuidado. Además es re completo en cuanto a elementos, con lo que Nunca una clase es igual a otra. Se la pasa bien en Estudio Sur!",-,,Lunes a viernes 8 a. m.–9 p. m.,"9H9X+XJ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,,
Patricia Pilates Castillo,"15 de Noviembre y Pichincha, Buenos Aires",Parque Patricios,1133244192,,https://www.instagram.com/pilatesquality/?hl=es#,805,,,,Básico,,,,"Pop Dance, yoga, depilación","Lunes a viernes 10 a. m.–9 p. m. sábado, 9 a. m.–5 p. m.","9J83+R9 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram,",11-09-25,,
Non solo Pilates,"Brasil 2747, C1246 Cdad. Autónoma de Buenos Aires",Parque Patricios,1156688114,,https://www.instagram.com/nonsolopilates/profilecard/?igsh=Njdva3F0dmJmem13,1895,"4,8x23",,-,,,"Hace 5 meses: Triple B: bueno, bonito y barato. Profes muy buenos, creo que tuve clases con todos o la mayoría. Cada uno tiene su estilo y chispa, pero las clases son muy buenas. Horarios variados, podés tener hasta dos días fijos y recuperar clases que anules con tiempo. Me encanta!",-,,"Clases de lunes a lunes, de 8 a 22 hs","9H9W+3W Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,Una de las profes tiene formación en danza clásica. Tienen un local con un reformer para clases personalizadas.,
Leitmotiv Pilates,"Av. Caseros 2974, C1263 Cdad. Autónoma de Buenos Aires",Parque Patricios,54 11 7627 3762,,https://www.instagram.com/leitmotivpilates/?hl=es-la#,1415,"5,0x6",,P equipo,Básico. Tonalidades en torno al verde.,,,,,,"9H7W+44 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",11-09-25,Poca información disponible.,
Valestar bien,"Cátulo Castillo 3072, C1243AER Cdad. Autónoma de Buenos Aires",Parque Patricios,1158301953,,https://www.instagram.com/valestar_bien/?hl=es-la#,1424,"4,8x64",,Studio moderna,Básico.,,"4 semanas atrás: Excelente estudio de pilates, clases profesionales que se adaptan a cada persona y que te desafían a ir por más. Vale es una gran persona ante todo, ella está allí para que ese momento sea cálido, cuidado, y a la medida. No se trata de que todos hagamos lo mismo, se trata de que cada persona reciba la rutina adecuada y eso viene de la mano y el conocimiento de Vale. 1000% recomendable!",-,"Pilates.Atención nutricional, sesiones de Biodecodificacion","Lunes y viernes 9 a. m.–8 p. m. martes y jueves 9 a. m.–9 p. m. miércoles, 3 a. m.–8 p. m. sábado, 10 a. m.–1 p. m.","9H8R+2X Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",11-09-25,,
Yoga y Pilates,"Av. Caseros 2825, C1264 Cdad. Autónoma de Buenos Aires",Parque Patricios,1124642974,,-,,"4,8x33",,-,,,"Hace un mes: Estoy asistiendo a clases de pilates desde hace varios meses y vengo muy contenta con mi proceso. Puedo notar el cambio en la fuerza, el tono y la flexibilidad. Las clases con Marina son con grupos reducidos, donde reina el respeto y la buena onda, junto con el cuidado que como instructora le pone a cada participante. Recomiendo este espacio al 100%",,,,"9H7W+CX Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps,11-09-25,"Poca infor, no encontré el Instagram, ni el horario.",
Espacio Compromiso Bienestar,"Salcedo 3274, C1259 Cdad. Autónoma de Buenos Aires",Parque Patricios,1141408258,,https://instagram.com/compromiso.bienestar,1039,"5,0x21",,-,Básico.,,Hace 7 meses: Hermoso espacio con excelentes actividades y profesionales comprometidos!,-,"Meditación budista, danza.","Lunes a viernes 10 a. m.–8 p. m. sábado, 10 a. m.–6 p. m.","9H8Q+RJ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,Instructor vinculada a la danza.,
Estetica Glow,"Catamarca 1692, C1248 Cdad. Autónoma de Buenos Aires",Parque Patricios,1153193995,,https://www.instagram.com/glowpilatess?igsh=MWFlc2puNHY0bWgzbA==,833,,,,Básico ,,,-,cuidado de la piel y el cuerpo. Tratamientos personalizados,"Lunes a viernes 8 a. m.–8 p. m. sábado, 9 a. m.–12 p. m.","9HCX+24 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",11-09-25,Es dentro de un espacio de Estética.,
Centro Pilates Buenos Aires,"Guaminí 5288, C1439 Cdad. Autónoma de Buenos Aires",Villa Riachuelo,1162506582,,https://www.instagram.com/pilates_bsas?igsh=MW85MnNnbm1pY2oxZQ%3D%3D#,2447,"5,0x6",,,Básico,,,,,"Lunes a viernes 8 a. m.–8 p. m. sábado, 9 a. m.–1 p. m.","8G5G+PW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,,
Umana Pilates Caballito,"Guaminí 5173, C1439HAM Cdad. Autónoma de Buenos Aires",Villa Riachuelo,,,https://www.instagram.com/humanupilates/#,2584,-,,-,"Equipado, básico.",,-,-,"Instructor de Pilates clásico y contemporáneo, Instructor de Indoor cycle, Instructor de Spinning.","Lunes a viernes 8 a. m.–9 p. m. sábado, 10 a. m.–1 p. m.","8G6G+29 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,Este profe lo seguía por algo en particular… buscar.,
V.A. Pilates & Stretching,"Timoteo Gordillo 2435, C1440EEW Cdad. Autónoma de Buenos Aires",Mataderos,1121716897,,-,,"5,0x4",,-,Básico,,Editado Hace un mes: Me anoté hace 6 meses para rehabilitar mi musculatura. Avancé muchísimo gracias a que la profe estuvo muy atenta a mis necesidades y limitaciones. Estoy muy feliz por haber conocido este espacio. Super recomendable,https://www.facebook.com/people/VA-Studio-Pilates-stretching/61564964738665/,,"Lunes a viernes 8 a. m.–8 p. m. sábado, 9 a. m.–1 p. m.","8FQX+25 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, face",11-09-25,No encontré el instagram,
Pilates Mat y Reformer Bio Gym,"Corvalán 2154, C1440 Cdad. Autónoma de Buenos Aires",Mataderos,111567856924,,No encontré,,"4,0x5",,Spa.com.ar,Básico,,"Hace 8 meses: Mala atención, responde los mensajes cuando quiere",,,,"8GR7+VX Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps,",11-09-25,Poca información disponible,
SOY Pilates,"Francisco Bilbao 4927, C1440BFA Cdad. Autónoma de Buenos Aires",Mataderos,,,https://www.instagram.com/salayosoy/#,,-,,-,Básico. Tonalidades en torno al malva y el rojo (equipos y pelotas),,-,,,,"8GW8+C7 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,Poca info,
Sol Pilates,"Remedios 4912, C1407 Cdad. Autónoma de Buenos Aires",Mataderos,,,https://www.instagram.com/sol.pilatess?igsh=MW9kdXdtejRtb2VjMQ==,496,"5,0x6",,Hek T pilates,Básico. Tonalidades en torno al rojo. Equipos- reformer viejos.,,Hace un año: El mejor entrenamiento personalizado a precios únicos. El deporte más saludable dado con responsabilidad y compromiso. Muy recomendable,,,"Lunes a viernes 8 a. m.–8 p. m. sábado, 8 a. m.–12 p. m.","8GX6+4G Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",11-09-25,,
Mantra Yoga y Pilates,"Oliden al 1500, C1440 Cdad. Autónoma de Buenos Aires",Mataderos,11 5525-5327,mantraconsultas@gmail.com,-,,"4,9x15",https://espaciomantrayoga.com.ar/,-,básico,,No hay recientes,"Mantra es un espacio donde trabajamos integralmente. Entendemos que cada persona es única y que cada ser para estar sano debe mantenerse en equilibrio físico, emocional y espiritual, entendiendo que todo fluctúa, se mueve, se transforma, que nada permanece estático; y así vamos adaptándonos y acompañando esos movimientos que la naturaleza y la vida nos presenta día a día .","Talleres y Workshops de Terapia sonora, Automasajes y Relajación, Yoga Nidra, Alivio del dolor cervical-lumbar, y más.",,"8FWW+JC Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, web",12-09-25,,
SerUno • Pilates Reformer,"Araujo 476, C1408 Cdad. Autónoma de Buenos Aires",Villa Luro,,,https://www.instagram.com/serunobienestar/#,,"4,9x61",,Studio moderna,Básico,,"Hace un mes. Ambiente muy agradable y limpio, buen estado de camas y accesorios , excelentes profesoras, cumplen estrictamente los horarios de las clases , prolijo manejo administrativo y excelente atención a alumnos . Altamente recomendable !!!",-,,"lunes, 10–11 a. m., 4–9 p. m. martes, miércoles y jueves de 8 a. m.–12 p. m., 5–9 p. m. viernes, 8 a. m.–12 p. m., 5–9 p. m. sábado, 10 a. m.–1 p. m.","9F5W+2P Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,,
Pilates Studio Sabrina Feal,"Leopardi 190, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,1123925650,,https://www.instagram.com/pilates.studio.sabrinafeal/#,999,"5,0x6",,Del Río Pilates,"Básico. Tonalidad rosa, colchonetas, pelotas grisesa",,"Hace un año: Excelente lugar y más que excelente profesora, Sabri es lo más!! No solo explica bien y muestra como se deben hacer los ejercicios, sino que es súper amable, amorosa y divertida",-,"Acrobacias, Pilates reformer,Reformer postural, Stretching, Training mix Yoga","Lunes a viernes, 8 a. m.–8 p. m. sábado, 9 a. m.–12 p. m.","9G63+52 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,,
Bive Pilates Villa Luro,"Av. Rivadavia 9823, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,1170663086,,https://www.instagram.com/bivepilates/?hl=es#,,,https://www.bivepilates.com.ar/,P&P y FOX,,,"Hace 2 meses: Llevo un mes de clases y estoy muy contenta! El lugar es agradable, limpio, los equipos son muy cómodos y sobre todo destaco el profesionalismo de la profe Fernanda! Está pendiente a todos los detalles y el trabajo en el cuerpo es tan profundo como llevadero 🙌🏼 siempre con buena onda!",-,,"Lunes a viernes de, 8 a. m.–9 p. m. sábado, 9 a. m.–2 p. m.","9F6W+XW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,Tiene una sede en Villa Luro y otra en Liniers. Toda la información en web.,
VALU pilates reformer funcional,"Av. Juan Bautista Justo 8150, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,,,https://www.instagram.com/valupilatesyfuncional/,6187,"4,7x30",,Studio moderna,Básico,,"Hace 5 meses. Excelente persona y profe. Maru es super dinamica con sus clases, te motiva para superar todos tus limites. Clases intensas y variadas, si te gusta mucho el deporte es por aca!",,,Lunes a viernes de 8 a. m.–9 p. m,"9F8X+P2 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",12-09-25,,
Yoga y Pilates Villa Luro,"Av Canónigo M. C. del Corro 615, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,1163736001,,https://www.instagram.com/yogaromy/?hl=es#,2069,"4,9x39",,-,Básico.,,"3semana atrásNuevaRecomiendo mucho el instructorado. Tiene una excelente calidad de educación y de los contenidos enseñados. Entregan apuntes para reforzar lo aprendido en cada clase, así como también, se realizan prácticas es muy completo. Las profesoras son unas genias con gran dedicación para enseñar. El espacio es luminoso, amplio y la ambientación es muy acogedora. Le pongo 10 a todo!!",-,Clases e INSTRUCTORADO de 𝐏𝐢𝐥𝐚𝐭𝐞𝐬 Reformer/CLASES de Yoga /Columpios/Elongación,"Lunes a viernes 10 a. m.–9 p. m. sábado, 10 a. m.–3:30 a. m.","9G92+39 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,Ofrecen instructorado.,
LINA PILATES,"Av. Juan Bautista Justo 7871, C1407 Cdad. Autónoma de Buenos Aires",Villa Luro,1131632450,,https://instagram.com/linastudiopilates?utm_medium=copy_link,1427,"5,0x26",,Studio moderna,Básico. Tonalidades en torno al malva. Pelotas grises.,,Hace 5 meses: Voy hace más de 2 años.... Nunca pude sostener una actividad física hasta que conocí Lina...Muchas dedicación de parte de las profes y además se forman hermosos grupos. Personalmente me divierto mucho... Lo recomiendo 100 %,-,,"Lunes a viernes 8 a. m.–12 p. m., 3–9 p. m. sábado, 8 a. m.–12 p. m., 3–9 p. m.","9F9X+9X Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps,",12-09-25,,
206 Pilates Studio,"Santiago de las Carreras 7, C1407KTA Cdad. Autónoma de Buenos Aires",Vélez Sársfield,1126649896,,https://www.instagram.com/pilates206.ar/#,,"4,3x106",,Life pilates,Básico. Tonalidades verdes.,,"Hace 4 meses: Las profesoras que me tocaron son geniales, muy profesionales y atentas. Pero la parte administrativa es un desastre, no hay una atención personalizada. Cuando te comunicas aluden que son varias personas haciendo diferentes trabajos, pero la comunicación entre estas personas parece que es inexistente. No son considerados ni con las recuperaciones ni con la fecha de alta de las clases al inicio del mes.",,,"Lunes y martes 8 a. m.–10 p. m. miércoles y viernes 7 a. m.–9 p. m. jueves, 7 a. m.–10 p. m. sábado, 8 a. m.–3 p. m.","9G76+M6 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",12-09-25,,
Sukha Pilates Core Center,"Av. Rivadavia 8945, C1407 Cdad. Autónoma de Buenos Aires",Vélez,1168255763,,https://www.instagram.com/sukha.pilatescorecenter/profilecard/?igsh=MWtpendyMWh6dnp2aA==,,"4,6x27",,Del rio pilates,,,"Hace un mes: Una estrella mucho!!! ver opinión anterior!! Vas personalmente para acomodar horario y dicen por Whatsapp!! Escribo un viernes, acuerdo dia martes y jueves a las 10, el sábado transferia, no pude. Escribo el lunes, problema para acordar el horario, finalmente cierro en uno que no me convencia. A las 23 h me confirman que su pyedo martes y jueves. Voy martes 5 y no!! Se equivocó!! Dice llegar en horario, llegué a las 10 y la clase habia empezado, devolvio el dinero!! Pero son un desastre!!",,Naturopatía,-,"9G75+QW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Instagram",12-09-25,"Tiene tres sedes. Instagram muy cargado, ruido visual.",
Mikigai Pilates,"Segurola 1036, C1407 Cdad. Autónoma de Buenos Aires",,111558105355,,https://www.instagram.com/mikigai.pilates/#,874,"5,0x42",,Studio moderna,"Básico. Pared de hojas artificiales, tonalidades verdes. Trabajo en madera, pelotas grises.",,"Hace 2 meses. Más que encantada con este hermoso lugar. Todas las profes son divinas y sus clases son muy buenas. Ya hace casi un año que voy y me encanta este espacio, me siento más que cómoda y veo muchísimo el avance en mí. Más que recomendado",-,,"Lunes a viernes de, 8 a. m.–9 p. m. sábado, 9 a. m.–1 p. m.","9GF5+96 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, instagram",12-09-25,,
